src:START_ID	dst:END_ID	type:TYPE	verb
0	112	REL	`based; signaling`
1	112	REL	`based; signaling`
376	1	REL	`was used to assess`
130	377	REL	`were measured using`
130	130	REL	`were measured using`
147	377	REL	`were measured using`
147	130	REL	`were measured using`
378	132	REL	`was used; would spread`
379	132	REL	`was used; would spread`
380	381	REL	`was used to eliminate`
210	306	REL	`was used; was described`
210	199	REL	`used; to isolate`
210	263	REL	`used; to isolate`
382	383	REL	`were re-suspended; fixed`
37	313	REL	`were harvested; rinsed; fixed`
50	384	REL	`has; can be used; to treat`
55	384	REL	`has; can be used; to treat`
147	1	REL	`depends; using; derived`
147	36	REL	`depends; using; derived`
36	1	REL	`had elevated fasting; compared; fed`
376	1	REL	`was conducted; described using`
18	385	REL	`including`
18	106	REL	`including`
18	244	REL	`including`
1	294	REL	`to fight`
1	26	REL	`to fight`
1	25	REL	`plays`
1	81	REL	`plays`
18	1	REL	`estimating`
18	0	REL	`estimating`
45	1	REL	`estimating`
45	0	REL	`estimating`
43	1	REL	`estimating`
43	0	REL	`estimating`
26	1	REL	`estimating`
26	0	REL	`estimating`
18	1	REL	`had`
0	386	REL	`including`
0	106	REL	`including`
0	387	REL	`including`
0	244	REL	`including`
0	388	REL	`including`
0	389	REL	`including`
0	390	REL	`including`
0	385	REL	`including`
0	45	REL	`indicating; plays`
0	294	REL	`indicating; plays`
1	45	REL	`plays`
1	294	REL	`plays`
1	0	REL	`plays`
391	1	REL	`including`
42	40	REL	`has`
121	40	REL	`has`
1	392	REL	`dose`
49	25	REL	`might have`
14	25	REL	`might have`
393	1	REL	`indicating`
393	394	REL	`indicating`
393	0	REL	`indicating`
393	25	REL	`indicating`
393	45	REL	`indicating`
393	294	REL	`indicating`
0	26	REL	`including`
0	45	REL	`including`
0	107	REL	`including`
1	43	REL	`to fight`
55	91	REL	`ions`
55	89	REL	`ions`
55	92	REL	`ions`
55	90	REL	`ions`
225	91	REL	`ions`
225	89	REL	`ions`
225	92	REL	`ions`
225	90	REL	`ions`
50	91	REL	`ions`
50	89	REL	`ions`
50	92	REL	`ions`
50	90	REL	`ions`
146	72	REL	`make`
146	50	REL	`make`
50	57	REL	`modulates`
50	56	REL	`modulates`
72	57	REL	`modulates`
72	56	REL	`modulates`
50	146	REL	`has`
55	146	REL	`has`
80	57	REL	`promote`
80	56	REL	`promote`
80	395	REL	`promote`
80	52	REL	`promote`
80	396	REL	`promote`
80	397	REL	`promote`
55	56	REL	`modulating`
55	63	REL	`modulating`
55	57	REL	`modulating`
50	56	REL	`modulating`
50	63	REL	`modulating`
50	57	REL	`modulating`
63	57	REL	`promote`
63	56	REL	`promote`
146	268	REL	`were mixed`
146	398	REL	`were mixed`
399	268	REL	`were mixed`
399	398	REL	`were mixed`
400	268	REL	`were mixed`
400	398	REL	`were mixed`
401	268	REL	`were mixed`
401	398	REL	`were mixed`
402	268	REL	`were mixed`
402	398	REL	`were mixed`
403	268	REL	`were mixed`
403	398	REL	`were mixed`
404	268	REL	`were mixed`
404	398	REL	`were mixed`
405	268	REL	`were mixed`
405	398	REL	`were mixed`
50	247	REL	`was named`
50	406	REL	`was named`
50	407	REL	`was named`
50	408	REL	`was named`
50	409	REL	`was named`
72	247	REL	`was named`
72	406	REL	`was named`
72	407	REL	`was named`
72	408	REL	`was named`
72	409	REL	`was named`
410	411	REL	`were used to determine`
382	318	REL	`was analyzed using`
382	90	REL	`was analyzed using`
382	91	REL	`was analyzed using`
382	89	REL	`was analyzed using`
382	92	REL	`was analyzed using`
412	413	REL	`was added`
414	37	REL	`was injected`
414	312	REL	`was injected`
414	415	REL	`was injected`
416	37	REL	`was injected`
416	312	REL	`was injected`
